date,close
2015-10-08,27.66
2015-10-09,27.63
2015-10-12,29.867
2015-10-13,30.127
2015-10-14,29.178
2015-10-15,30.367
2015-10-16,30.207
2015-10-19,29.857
2015-10-20,32.844
2015-10-21,31.266
2015-10-22,34.392
2015-10-23,35.661
2015-10-26,34.402
2015-10-27,34.552
2015-10-28,32.364
2015-10-29,32.225
2015-10-30,32.185
2015-11-02,30.117
2015-11-03,29.767
2015-11-04,31.965
2015-11-05,30.966
2015-11-06,32.554
2015-11-09,33.693
2015-11-10,33.493
2015-11-11,36.839
2015-11-12,40.525
2015-11-13,40.156
2015-11-16,42.953
2015-11-17,41.754
2015-11-18,40.475
2015-11-19,41.424
2015-11-20,42.204
2015-11-23,40.166
2015-11-25,40.535
2015-11-26,39.137
2015-11-27,36.25
2015-11-30,35.871
2015-12-01,36.06
2015-12-02,35.761
2015-12-03,38.967
2015-12-04,39.067
2015-12-07,38.677
2015-12-08,36.72
2015-12-09,35.661
2015-12-10,36.58
2015-12-11,35.361
2015-12-14,37.209
2015-12-15,38.338
2015-12-16,38.408
2015-12-17,39.197
2015-12-18,37.888
2015-12-21,36.899
2015-12-22,37.249
2015-12-23,36.01
2015-12-24,36.76
2015-12-25,36.53
2015-12-28,38.028
2015-12-29,37.978
2015-12-30,40.086
2015-12-31,38.618
2016-01-04,34.752
2016-01-05,31.895
2016-01-06,32.644
2016-01-07,29.378
2016-01-08,28.469
2016-01-11,25.622
2016-01-12,25.592
2016-01-13,24.263
2016-01-14,25.971
2016-01-15,23.574
2016-01-18,24.643
2016-01-19,26.421
2016-01-20,26.351
2016-01-21,25.922
2016-01-22,26.631
2016-01-25,26.94
2016-01-26,24.243
2016-01-27,23.564
2016-01-28,21.367
2016-01-29,22.755
2016-02-01,22.385
2016-02-02,23.704
2016-02-03,23.704
2016-02-04,24.243
2016-02-05,23.364
2016-02-15,23.404
2016-02-16,25.742
2016-02-17,25.971
2016-02-18,26.541
2016-02-19,27.969
2016-02-22,28.629
2016-02-23,28.269
2016-02-24,28.569
2016-02-25,26.561
2016-02-26,27.26
2016-02-29,24.533
2016-03-01,24.773
2016-03-02,26.151
2016-03-03,28.768
2016-03-04,26.401
2016-03-07,27.74
2016-03-08,27.74
2016-03-09,27.25
2016-03-10,26.101
2016-03-11,26.141
2016-03-14,27.44
2016-03-15,26.731
2016-03-16,25.882
2016-03-17,27.39
2016-03-18,30.127
2016-03-21,31.945
2016-03-22,31.326
2016-03-23,31.865
2016-03-24,32.015
2016-03-25,31.415
2016-03-28,30.966
2016-03-29,30.257
2016-03-30,31.885
2016-03-31,31.885
2016-04-01,31.096
2016-04-05,33.323
2016-04-06,32.654
2016-04-07,32.654
2016-04-08,31.775
2016-04-11,32.354
2016-04-12,31.775
